Algorithm,Best_Accuracy,LSTM_Units,Dropout,Learning_Rate,Runtime_Seconds,Iterations
DOE,0.7177996422182469,128,0.35,0.001,70.32428288459778,9
PSO,0.7276386404293381,64,0.2818681711573507,0.005300099798653538,270.08785796165466,15
TabuSearch,0.7343470483005367,128,0.44999999999999996,0.001,901.8504707813263,10
GWO,0.7276386404293381,64,0.31055085215969475,0.00520646992667552,323.0595088005066,15
WOA,0.7294275491949911,32,0.2,0.001,318.83740854263306,15
SA,0.7271914132379249,64,0.35,0.005,352.8929908275604,20
